"あかり","あかり","Akari","女"
"さくら","さくら","Sakura","女"
"つむぎ","つむぎ","Tsumugi","女"
"ひかり","ひかり","Hikari","女"
"ひなた","ひなた","Hinata","女"
"ひまり","ひまり","Himari","女"
"伊織","いおり","Iori","男"
"凛","りん","Rin","女"
"凜","りん","Rin","女"
"凪","なぎ","Nagi","男"
"咲良","さくら","Sakura","女"
"大翔","ひろと","Hiroto","男"
"彩葉","いろは","Iroha","女"
"律","りつ","Ritsu","男"
"悠","ゆう","Yu","男"
"悠斗","ゆうと","Yuto","男"
"悠真","ゆうま","Yuma","男"
"暖","だん","Dan","男"
"朝陽","あさひ","Asahi","男"
"樹","いつき","Itsuki","男"
"樹","いつき","Itsuki","女"
"湊","みなと","Minato","男"
"澪","みお","Mio","女"
"碧","あおい","Aoi","男"
"碧","あおい","Aoi","女"
"紬","つむぎ","Tsumugi","女"
"結愛","ゆあ","Yua","女"
"結月","ゆづき","Yuduki","女"
"結翔","ゆいと","Yuito","男"
"結菜","ゆうな","Yuna","女"
"結衣","ゆい","Yui","女"
"美月","みつき","Mitsuki","女"
"芽依","めい","Mei","女"
"莉子","りこ","Riko","女"
"葵","あおい","Aoi","女"
"蒼","あおい","Aoi","男"
"蒼空","そら","Sora","男"
"蓮","れん","Ren","男"
"陸","りく","Riku","男"
"陽","はる","Haru","男"
"春","はる","Haru","女"
"陽向","ひなた","Hinata","男"
"陽大","ようた","Youta","男"
"陽翔","はると","Haruto","男"
"陽菜","ひな","Hina","女"
"陽菜乃","ひなの","Hinano","女"
"陽葵","ひまり","Himari","女"
"颯真","そうま","Souma","男"
"晶","あきら","Akira","女"
"晶","あきら","Akira","男"
"彰","あきら","Akira","男"
"愛","あい","Ai","女"
"愛","めぐみ","Megumi","女"
"すみれ","すみれ","Sumire","女"
